"individual_1","individual_2","total_length"
"TAR04","UV979",86740308
"TAR04","S_Eskimo_Sireniki-1",13774000
"TAR04","UV043",88834522
"TAR04","S_Han-2",17097000
"TAR04","ERS699818",18961000
"TAR04","S_Turkish-1",11270000
"TAR04","S_Papuan-1",127334938
"TAR04","ERS700549",21900000
"TAR04","S_Papuan-13",133714582
"TAR04","S_French-2",10167000
"TAR04","ERS700554",18908000
"TAR04","ERS724860",17500000
"TAR04","ERS700544",19080000
"TAR04","ERS724848",17702000
"TAR04","S_Sardinian-2",9349000
"TAR04","KUN04",72482000
"TAR04","S_Papuan-11",121661570
"TAR04","BUN02",71815000
"TAR04","UV919",69535704
"TAR04","UV1042",83696472
"TAR04","ERS724855",18091000
"TAR04","TAR03",78060000
"TAR04","UV931",82795565
"TAR04","S_Basque-1",9688000
"TAR04","UV1134",86201748
"TAR04","ERS699817",14747000
"TAR04","TAR02",78594000
"TAR04","UV929",80168179
"TAR04","S_Tubalar-1",14136000
"TAR04","UV925",73298045
"TAR04","ERS700541",18351000
"TAR04","ERS985077",19579000
"TAR04","BUN03",72676000
"TAR04","S_Altaian-1",16432000
"TAR04","S_Irula-2",13370000
"TAR04","S_Atayal-1",17152000
"TAR04","ERS700536",19265000
"TAR04","UV971",77056608
"TAR04","S_Korean-2",18162000
"TAR04","S_Saami-2",13843000
"TAR04","S_Kinh-1",18534000
"TAR04","S_Brahui-2",10693000
"TAR04","13748_1",71216000
"TAR04","13784_1",70499000
"TAR04","S_Orcadian-1",11134000
"TAR04","S_Papuan-3",121412286
"TAR04","ERS724857",16065000
"TAR04","ERS724870",17842000
"TAR04","S_Eskimo_Chaplin-1",15306000
"TAR04","S_Georgian-2",11145000
"TAR04","S_Greek-2",8384000
"TAR04","S_Punjabi-2",14286000
"TAR04","ERS942344",17281000
"TAR04","S_Ulchi-1",16129000
"TAR04","ERS699816",15730000
"TAR04","S_Naxi-3",18280000
"TAR04","S_Chechen-1",11452000
"TAR04","S_Miao-2",16868000
"TAR04","ERS699823",17268000
"TAR04","S_Papuan-7",120227769
"TAR04","ERS724863",19425000
"TAR04","ERS724869",16963000
"TAR04","ERS700552",17870000
"TAR04","S_Papuan-9",127562077
"TAR04","KUN01",74099000
"TAR04","S_Tlingit-1",12567000
"TAR04","UV1266",85107147
"TAR04","S_Papuan-5",113093818
"TAR04","S_She-1",15255000
"TAR04","S_Armenian-1",9223000
"TAR04","S_Finnish-2",11588000
"TAR04","ERS700550",18389000
"TAR04","S_Brahmin-1",14406000
"TAR04","S_Irula-1",13345000
"TAR04","UV952",72467777
"TAR04","S_Adygei-2",12233000
"TAR04","UV946",80339855
"TAR04","S_Yakut-2",15395000
"TAR04","13748_6",74070000
"TAR04","13748_7",74512000
"TAR04","ERS985091",16090000
"TAR04","ERS724856",19179000
"TAR04","S_North_Ossetian-2",10238000
"TAR04","S_Oroqen-1",17446000
"TAR04","UV958",83050513
"TAR04","TAR05",77409000
"TAR04","S_Papuan-14",122940178
"TAR04","S_Kusunda-1",17848000
"TAR04","UV886",75657023
"TAR04","S_Papuan-2",118624990
"TAR04","S_Hezhen-2",15918000
"TAR04","S_North_Ossetian-1",8626000
"TAR04","UV1043",78704192
"TAR04","S_English-1",10075000
"TAR04","ERS700557",17813000
"TAR04","S_Papuan-4",110882565
