"individual_1","individual_2","total_length"
"KUN02","S_Burmese-2",7527000
"KUN02","ERS724868",8700000
"KUN02","S_Hazara-1",7712000
"KUN02","TAR05",30112000
"KUN02","S_Georgian-2",3762000
"KUN02","S_Japanese-1",8302000
"KUN02","S_Papuan-7",65583295
"KUN02","ERS724856",11512000
"KUN02","S_Sindhi-2",4504000
"KUN02","S_Papuan-10",70302204
"KUN02","UV1003",44304812
"KUN02","ERS700550",10566000
"KUN02","S_Kinh-1",9426000
"KUN02","ERS724872",11192000
"KUN02","UV1134",38370016
"KUN02","S_Yemenite_Jew-1",2144000
"KUN02","ERS724863",10229000
"KUN02","S_Ami-1",8442000
"KUN02","S_Czech-2",3598000
"KUN02","UV925",36512474
"KUN02","13784_4",32733000
"KUN02","S_Spanish-2",2890000
"KUN02","S_Balochi-1",4227000
"KUN02","S_French-1",3010000
"KUN02","13784_3",34641000
"KUN02","UV944",43915679
"KUN02","S_Papuan-5",54068979
"KUN02","S_Tu-1",9502000
"KUN02","S_Japanese-3",7844000
"KUN02","S_Finnish-3",6405000
"KUN02","UV1043",37619918
"KUN02","S_French-2",3361000
"KUN02","ERS699829",8665000
"KUN02","S_Jordanian-3",3054000
"KUN02","MEN05",31330000
"KUN02","TAR03",30433000
"KUN02","S_Aleut-1",8292000
"KUN02","UV518",37904521
"KUN02","S_Kalash-1",5453000
"KUN02","S_Oroqen-2",7270000
"KUN02","UV1042",37874840
"KUN02","ERS700556",9310000
"KUN02","S_Makrani-1",5523000
"KUN02","S_Miao-1",7977000
"KUN02","UV929",38083268
"KUN02","S_Naxi-3",8803000
"KUN02","S_She-2",7566000
"KUN02","ERS985091",10007000
"KUN02","ERS700546",11587000
"KUN02","S_Yi-2",10898000
"KUN02","S_Tujia-1",9010000
"KUN02","ERS700532",8458000
"KUN02","ERS724862",8856000
"KUN02","S_BedouinB-2",2474000
"KUN02","S_Armenian-1",3743000
"KUN02","UV043",36430702
"KUN02","UV305",41877428
"KUN02","S_Balochi-2",4970000
"KUN02","S_Bengali-1",6480000
"KUN02","13784_2",33368000
"KUN02","UV1196",38916309
"KUN02","UV979",43913813
"KUN02","S_Iraqi_Jew-2",3344000
"KUN02","S_Naxi-1",7773000
"KUN02","UV958",36800314
"KUN02","UV897",33154564
"KUN02","ERS724855",9600000
"KUN02","S_Hezhen-1",8289000
"KUN02","S_Chukchi-1",5541000
"KUN02","S_Adygei-1",3350000
"KUN02","S_Iranian-2",3883000
"KUN02","S_Yakut-1",9179000
"KUN02","S_Palestinian-2",3426000
"KUN02","BUN03",35215000
"KUN02","S_Relli-2",5260000
"KUN02","S_Papuan-3",63973636
"KUN02","S_Burmese-1",7768000
"KUN02","ERS724865",8199000
"KUN02","S_Icelandic-2",5094000
"KUN02","ERS724858",8490000
"KUN02","ERS724876",8902000
"KUN02","S_Palestinian-1",2898000
"KUN02","ERS700553",10525000
"KUN02","ERS700542",10153000
"KUN02","S_Papuan-1",69172350
"KUN02","S_Daur-2",7888000
"KUN02","ERS724860",7068000
"KUN02","S_Papuan-4",56124881
"KUN02","UV886",32630390
"KUN02","UV919",34592778
"KUN02","ERS699816",7277000
"KUN02","S_Jordanian-1",3140000
"KUN02","S_Sindhi-1",5674000
"KUN02","UV1224",38759921
"KUN02","S_Brahmin-1",6297000
"KUN02","S_Yadava-2",4899000
"KUN02","S_Saami-1",4859000
"KUN02","S_Icelandic-1",4302000
"KUN02","UV1230",34714396
"KUN02","S_Oroqen-1",10889000
"KUN02","S_Papuan-8",62463692
"KUN02","S_Papuan-13",68392896
"KUN02","UV580",38971644
"KUN02","S_Sardinian-2",3990000
"KUN02","S_Druze-1",3126000
"KUN02","S_Hezhen-2",9619000
"KUN02","13748_2",30792000
"KUN02","13733_8",30009000
"KUN02","S_Pathan-1",4685000
"KUN02","ERS700529",9064000
"KUN02","ERS700549",12155000
"KUN02","S_Papuan-14",64719680
"KUN02","S_Pathan-2",6304000
"KUN02","S_Estonian-1",3046000
"KUN02","ERS699823",10299000
"KUN02","S_Iranian-1",2925000
"KUN02","S_Mala-2",6261000
"KUN02","S_Han-2",8818000
"KUN02","S_Papuan-9",68719090
"KUN02","S_Estonian-2",4887000
"KUN02","S_Eskimo_Naukan-1",8990000
"KUN02","UV1260",33274214
"KUN02","S_She-1",7271000
"KUN02","MEN03",33121000
"KUN02","ERS985077",11121000
"KUN02","S_Korean-2",10011000
"KUN02","S_Kapu-2",6512000
"KUN02","S_Lahu-1",8574000
"KUN02","UV971",42031119
"KUN02","UV927",41172485
"KUN02","ERS699830",6269000
"KUN02","ERS724873",10100000
"KUN02","UV940",40333096
"KUN02","UV500",38376285
"KUN02","ERS699815",8559000
"KUN02","S_Itelman-1",6481000
"KUN02","MAR03",30045000
"KUN02","S_Kapu-1",6485000
"KUN02","UV923",41400385
"KUN02","S_Mansi-1",6158000
"KUN02","UV952",37233481
"KUN02","MAR02",31734000
"KUN02","BUN02",34667000
"KUN02","S_Eskimo_Naukan-2",6573000
"KUN02","S_Ulchi-1",9683000
"KUN02","ERS700534",8389000
"KUN02","S_Chechen-1",3530000
"KUN02","MEN02",33342000
"KUN02","ERS985092",8853000
"KUN02","S_Papuan-6",60509799
"KUN02","S_Kyrgyz-1",7548000
"KUN02","S_Finnish-1",3317000
"KUN02","UV986",35279397
"KUN02","S_Ulchi-2",9456000
"KUN02","ERS724870",9504000
"KUN02","13748_1",31694000
"KUN02","S_Mongola-1",9508000
"KUN02","13748_7",31059000
"KUN02","S_Adygei-2",4051000
"KUN02","UV573",42258620
"KUN02","S_Turkish-1",3924000
"KUN02","S_Greek-1",3267000
"KUN02","13748_3",28832000
"KUN02","S_Jordanian-2",2214000
"KUN02","ERS942344",9098000
"KUN02","S_Uygur-2",8763000
"KUN02","UV956",38209724
"KUN02","S_Russian-2",4602000
"KUN02","UV1266",42844910
"KUN02","ERS724833",7884000
"KUN02","ERS700531",9799000
"KUN02","SS6004472",30413000
"KUN02","ERS699821",9453000
"KUN02","S_Ami-2",7536000
"KUN02","ERS724849",7212000
"KUN02","ERS700552",8695000
"KUN02","ERS700533",9304000
"KUN02","S_Samaritan-1",3101000
"KUN02","S_Orcadian-2",4084000
"KUN02","S_Punjabi-3",5222000
"KUN02","TAR04",32662000
"KUN02","ERS699826",8674000
"KUN02","S_Aleut-2",4844000
"KUN02","ERS724871",8837000
"KUN02","ERS699825",7864000
"KUN02","S_Bergamo-1",5013000
"KUN02","MAR01",30988000
"KUN02","S_North_Ossetian-1",2526000
"KUN02","S_Punjabi-4",5910000
"KUN02","S_Basque-2",3721000
"KUN02","S_Madiga-2",5801000
"KUN02","S_Armenian-2",4739000
"KUN02","S_Tuscan-2",2479000
"KUN02","KUN01",36450000
"KUN02","S_Mongola-2",8768000
"KUN02","S_Burusho-2",5680000
"KUN02","S_Mansi-2",6263000
"KUN02","S_Hazara-2",6589000
"KUN02","MEN04",31501000
"KUN02","13748_4",28729000
"KUN02","S_Even-3",8194000
"KUN02","ERS699814",8522000
"KUN02","ERS700544",8409000
"KUN02","S_Bulgarian-2",3919000
"KUN02","ERS985078",10671000
