"individual_1","individual_2","shared_x","shared_epas"
"S_Tujia-2","UV910",0,0
"S_Tujia-2","ERS700542",0,0
"S_Tujia-2","S_Papuan-9",45000,0
"S_Tujia-2","S_Papuan-7",0,0
"S_Tujia-2","S_Naxi-2",341000,0
"S_Tujia-2","S_Iranian-2",0,0
"S_Tujia-2","S_Bergamo-2",62000,0
"S_Tujia-2","S_Punjabi-3",0,0
"S_Tujia-2","S_Kusunda-2",8000,0
"S_Tujia-2","UV1266",19000,0
"S_Tujia-2","BUN01",8000,0
"S_Tujia-2","UV927",0,0
"S_Tujia-2","TAR03",0,0
"S_Tujia-2","UV979",162000,0
"S_Tujia-2","S_Basque-2",0,0
"S_Tujia-2","ERS724855",0,0
"S_Tujia-2","ERS724864",0,0
"S_Tujia-2","UV925",41000,0
"S_Tujia-2","S_Jordanian-3",274000,0
"S_Tujia-2","UV923",0,0
"S_Tujia-2","ERS724863",269000,0
"S_Tujia-2","UV500",167000,0
"S_Tujia-2","S_Ulchi-2",62000,0
"S_Tujia-2","S_Papuan-10",289445,0
"S_Tujia-2","UV958",0,0
"S_Tujia-2","13784_1",34000,0
"S_Tujia-2","S_Korean-1",0,0
"S_Tujia-2","S_Hungarian-1",0,0
"S_Tujia-2","S_Naxi-1",0,0
"S_Tujia-2","ERS985077",162000,0
"S_Tujia-2","MAR03",196000,0
"S_Tujia-2","UV1196",177000,0
"S_Tujia-2","S_Papuan-8",0,0
"S_Tujia-2","UV986",424000,0
"S_Tujia-2","S_Papuan-2",286735,0
"S_Tujia-2","UV956",134000,0
"S_Tujia-2","UV940",165000,0
"S_Tujia-2","S_Tu-2",181000,0
"S_Tujia-2","S_Lezgin-2",0,0
"S_Tujia-2","UV897",241000,0
"S_Tujia-2","ERS724875",76000,0
"S_Tujia-2","UV919",153000,0
"S_Tujia-2","TAR04",164000,0
"S_Tujia-2","MAR05",164000,0
"S_Tujia-2","S_Japanese-1",46000,0
"S_Tujia-2","S_Georgian-1",0,0
"S_Tujia-2","MAR04",231000,0
"S_Tujia-2","S_Tuscan-1",70000,0
"S_Tujia-2","13748_6",163000,0
"S_Tujia-2","UV964",55000,0
"S_Tujia-2","BUN02",0,0
"S_Tujia-2","13784_2",103000,0
"S_Tujia-2","S_Yakut-2",19000,0
"S_Tujia-2","S_English-2",211000,0
"S_Tujia-2","S_Atayal-1",198000,0
"S_Tujia-2","13733_8",291000,0
"S_Tujia-2","S_Papuan-12",0,0
"S_Tujia-2","S_Papuan-5",0,0
"S_Tujia-2","ERS724866",0,0
"S_Tujia-2","ERS700556",187000,0
"S_Tujia-2","MEN01",75000,0
"S_Tujia-2","S_Druze-2",0,0
"S_Tujia-2","S_Polish-1",0,0
"S_Tujia-2","S_Khonda_Dora-1",87000,0
"S_Tujia-2","S_Tuscan-2",0,0
"S_Tujia-2","S_Kinh-1",90000,0
"S_Tujia-2","S_Yemenite_Jew-2",0,0
"S_Tujia-2","S_Miao-1",0,0
"S_Tujia-2","UV518",81000,0
"S_Tujia-2","S_Greek-1",82000,0
"S_Tujia-2","MEN04",298000,0
"S_Tujia-2","UV1230",19000,0
"S_Tujia-2","ERS699824",86000,0
"S_Tujia-2","S_Russian-2",0,0
"S_Tujia-2","S_Oroqen-1",173000,0
"S_Tujia-2","ERS699818",13000,0
"S_Tujia-2","ERS699826",56000,0
"S_Tujia-2","MAR01",9000,0
"S_Tujia-2","TAR05",67000,0
"S_Tujia-2","ERS700553",76000,0
"S_Tujia-2","S_Jordanian-2",0,0
"S_Tujia-2","UV1260",87000,0
"S_Tujia-2","S_Yadava-2",0,0
"S_Tujia-2","KUN04",151000,0
"S_Tujia-2","S_Dai-1",546000,0
"S_Tujia-2","S_Estonian-1",0,0
"S_Tujia-2","S_Hazara-2",0,0
"S_Tujia-2","S_Cambodian-2",441000,0
"S_Tujia-2","S_Ami-1",0,0
"S_Tujia-2","S_Brahmin-1",9000,0
"S_Tujia-2","S_Adygei-2",0,0
"S_Tujia-2","UV886",88000,0
"S_Tujia-2","S_Thai-1",230000,0
"S_Tujia-2","S_Makrani-1",0,0
"S_Tujia-2","ERS724856",17000,0
"S_Tujia-2","S_Bengali-2",13000,0
"S_Tujia-2","ERS724833",51000,0
"S_Tujia-2","S_Han-2",201000,0
"S_Tujia-2","S_Jordanian-1",0,0
"S_Tujia-2","ERS700549",0,0
"S_Tujia-2","S_Brahui-1",76000,0
"S_Tujia-2","S_Eskimo_Chaplin-1",0,0
"S_Tujia-2","S_Sindhi-1",0,0
"S_Tujia-2","UV971",165000,0
"S_Tujia-2","S_Japanese-2",222000,0
"S_Tujia-2","UV946",191000,0
"S_Tujia-2","UV1224",453000,0
"S_Tujia-2","S_Yi-1",0,0
"S_Tujia-2","UV043",68000,0
"S_Tujia-2","S_Mongola-1",75000,0
"S_Tujia-2","S_Papuan-1",65023,0
"S_Tujia-2","S_Thai-2",147000,0
"S_Tujia-2","ERS699821",20000,0
"S_Tujia-2","S_Brahui-2",24000,0
"S_Tujia-2","ERS699830",0,0
"S_Tujia-2","KUN02",0,0
"S_Tujia-2","UV1003",166000,0
"S_Tujia-2","S_Papuan-3",574406,0
"S_Tujia-2","UV1263",433000,0
"S_Tujia-2","ERS700563",187000,0
"S_Tujia-2","S_Papuan-6",0,0
"S_Tujia-2","S_Uygur-2",215000,0
"S_Tujia-2","S_Han-1",106000,0
"S_Tujia-2","TAR01",307000,0
"S_Tujia-2","S_Kapu-1",88000,0
"S_Tujia-2","UV929",134000,0
"S_Tujia-2","S_She-2",0,0
"S_Tujia-2","BUN03",81000,0
"S_Tujia-2","S_Dai-2",167000,0
"S_Tujia-2","ERS724873",0,0
"S_Tujia-2","13784_4",257000,0
"S_Tujia-2","S_Hezhen-1",16000,0
"S_Tujia-2","S_Kyrgyz-1",0,0
"S_Tujia-2","BUN04",205000,0
"S_Tujia-2","S_Mongola-2",336000,0
"S_Tujia-2","S_BedouinB-2",79000,0
"S_Tujia-2","ERS985090",69000,0
"S_Tujia-2","MEN03",64000,0
"S_Tujia-2","ERS700550",0,0
"S_Tujia-2","UV305",44000,0
"S_Tujia-2","ERS724848",4000,0
"S_Tujia-2","UV1042",0,0
"S_Tujia-2","UV1134",0,0
"S_Tujia-2","ERS700544",164000,0
"S_Tujia-2","BUN05",95000,0
"S_Tujia-2","S_Estonian-2",125000,0
"S_Tujia-2","S_Pathan-1",0,0
"S_Tujia-2","S_Kusunda-1",332000,0
"S_Tujia-2","S_Abkhasian-2",0,0
"S_Tujia-2","ERS699817",164000,0
"S_Tujia-2","S_Chukchi-1",0,0
"S_Tujia-2","S_Turkish-2",0,0
"S_Tujia-2","S_Aleut-2",340000,0
"S_Tujia-2","S_Samaritan-1",0,0
"S_Tujia-2","S_Kinh-2",761000,0
"S_Tujia-2","ERS724850",131000,0
"S_Tujia-2","UV573",33000,0
"S_Tujia-2","S_Russian-1",0,0
"S_Tujia-2","ERS724858",0,0
"S_Tujia-2","ERS724854",76000,0
"S_Tujia-2","S_Ulchi-1",75000,0
"S_Tujia-2","ERS724870",0,0
"S_Tujia-2","S_Relli-1",0,0
"S_Tujia-2","ERS724871",0,0
"S_Tujia-2","ERS700543",0,0
"S_Tujia-2","ERS985078",0,0
"S_Tujia-2","13748_7",0,0
"S_Tujia-2","S_Irula-1",0,0
"S_Tujia-2","ERS984054",0,0
"S_Tujia-2","S_Papuan-14",417000,0
"S_Tujia-2","ERS985079",0,0
"S_Tujia-2","S_Oroqen-2",416000,0
"S_Tujia-2","S_Naxi-3",107000,0
"S_Tujia-2","UV580",33000,0
"S_Tujia-2","S_Druze-1",88000,0
"S_Tujia-2","S_Palestinian-2",0,0
"S_Tujia-2","ERS700557",0,0
"S_Tujia-2","ERS700532",52000,0
"S_Tujia-2","S_Uygur-1",148000,0
"S_Tujia-2","S_Icelandic-1",47000,0
"S_Tujia-2","S_Tlingit-1",0,0
"S_Tujia-2","S_Even-2",198000,0
"S_Tujia-2","ERS699823",0,0
"S_Tujia-2","S_Burusho-1",0,0
"S_Tujia-2","UV931",162000,0
"S_Tujia-2","ERS699811",0,0
"S_Tujia-2","S_Hezhen-2",352000,0
"S_Tujia-2","ERS700529",46000,0
"S_Tujia-2","S_Sardinian-2",0,0
"S_Tujia-2","MEN02",191000,0
"S_Tujia-2","S_Madiga-2",0,0
"S_Tujia-2","ERS724857",60000,0
"S_Tujia-2","S_Kalash-1",1000,0
"S_Tujia-2","ERS724859",116000,0
"S_Tujia-2","ERS724861",0,0
"S_Tujia-2","S_Lahu-1",217000,0
"S_Tujia-2","S_Balochi-1",0,0
"S_Tujia-2","13748_3",0,0
"S_Tujia-2","ERS700546",0,0
"S_Tujia-2","S_Palestinian-3",17000,0
"S_Tujia-2","S_Bulgarian-1",0,0
"S_Tujia-2","ERS724868",58000,0
"S_Tujia-2","13748_2",417000,0
"S_Tujia-2","ERS700558",0,0
"S_Tujia-2","S_Daur-2",163000,0
"S_Tujia-2","S_Burmese-1",205000,0
"S_Tujia-2","S_Yadava-1",0,0
"S_Tujia-2","S_Saami-2",0,0
"S_Tujia-2","S_Tlingit-2",337000,0
"S_Tujia-2","S_French-2",0,0
"S_Tujia-2","ERS985092",0,0
"S_Tujia-2","ERS724860",0,0
"S_Tujia-2","UV1043",0,0
"S_Tujia-2","ERS699813",0,0
"S_Tujia-2","S_Punjabi-4",0,0
"S_Tujia-2","S_Tubalar-2",0,0
"S_Tujia-2","MAR02",0,0
"S_Tujia-2","S_English-1",0,0
"S_Tujia-2","S_Kyrgyz-2",154000,0
"S_Tujia-2","S_Finnish-3",86000,0
"S_Tujia-2","S_Kapu-2",0,0
"S_Tujia-2","ERS700537",187000,0
"S_Tujia-2","S_Papuan-4",0,0
"S_Tujia-2","13748_5",53000,0
"S_Tujia-2","ERS700561",0,0
"S_Tujia-2","S_Saami-1",0,0
"S_Tujia-2","KUN01",0,0
"S_Tujia-2","SS6004472",163000,0
"S_Tujia-2","ERS700535",0,0
"S_Tujia-2","KUN03",184000,0
"S_Tujia-2","S_Orcadian-2",0,0
"S_Tujia-2","ERS699819",164000,0
"S_Tujia-2","S_Tu-1",302000,0
"S_Tujia-2","S_Pathan-2",0,0
"S_Tujia-2","S_Brahmin-2",38000,0
"S_Tujia-2","S_Altaian-1",17000,0
"S_Tujia-2","S_Korean-2",86000,0
"S_Tujia-2","TAR02",93000,0
"S_Tujia-2","S_Lezgin-1",0,0
"S_Tujia-2","13748_8",0,0
"S_Tujia-2","S_Cambodian-1",0,0
"S_Tujia-2","ERS700560",139000,0
"S_Tujia-2","UV952",0,0
"S_Tujia-2","S_Armenian-2",4000,0
"S_Tujia-2","ERS700538",0,0
"S_Tujia-2","ERS699829",0,0
"S_Tujia-2","S_Even-1",205000,0
"S_Tujia-2","13784_3",163000,0
"S_Tujia-2","ERS700552",0,0
"S_Tujia-2","ERS699815",4000,0
